"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0,0,0,0
"maleAgeClass 4",0,0.333333333333333,0.333333333333333,0.333333333333333
"maleAgeClass 5",2,3.33333333333333,4.33333333333333,1.66666666666667
"maleAgeClass 6",2,6.33333333333333,2.33333333333333,3.33333333333333
"maleAgeClass 7",5.66666666666667,9,4.33333333333333,1.66666666666667
"maleAgeClass 8",19.3333333333333,16.6666666666667,7.66666666666667,2.66666666666667
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0,0,0,0
"femaleAgeClass 4",0.333333333333333,0.333333333333333,0.666666666666667,0
"femaleAgeClass 5",2,1,4,0.666666666666667
"femaleAgeClass 6",3,3.66666666666667,1.66666666666667,3.33333333333333
"femaleAgeClass 7",4.33333333333333,5.33333333333333,3.33333333333333,0
"femaleAgeClass 8",26.6666666666667,28.6666666666667,15,5.33333333333333
