"","deaths_NHW","deaths_NHB","deaths_NHO","deaths_HO"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0,0,0,0.333333333333333
"maleAgeClass 4",2.33333333333333,0,0.333333333333333,0
"maleAgeClass 5",11,1.33333333333333,2,2
"maleAgeClass 6",14.6666666666667,0.666666666666667,0.333333333333333,4
"maleAgeClass 7",23.3333333333333,1,1,5
"maleAgeClass 8",50.3333333333333,1.66666666666667,3,8.33333333333333
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0,0,0,0
"femaleAgeClass 4",1,0,1,0
"femaleAgeClass 5",9.66666666666667,1,0.666666666666667,2
"femaleAgeClass 6",12.3333333333333,1,0.666666666666667,2
"femaleAgeClass 7",16.6666666666667,0,3.33333333333333,6.33333333333333
"femaleAgeClass 8",95.3333333333333,1.33333333333333,5.66666666666667,9.33333333333333
