"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",0,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0,0,0,0
"maleAgeClass 4",0.333333333333333,0.333333333333333,0,0
"maleAgeClass 5",2.66666666666667,6.33333333333333,4,1.66666666666667
"maleAgeClass 6",4.33333333333333,5,4,2.33333333333333
"maleAgeClass 7",6.66666666666667,4,4,1
"maleAgeClass 8",7.66666666666667,15.3333333333333,3.33333333333333,1.33333333333333
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0,0,0,0
"femaleAgeClass 4",0,0.333333333333333,0,0.333333333333333
"femaleAgeClass 5",1.66666666666667,2.33333333333333,1.33333333333333,0.666666666666667
"femaleAgeClass 6",2.33333333333333,3,2,1
"femaleAgeClass 7",6,4.66666666666667,1.66666666666667,0.333333333333333
"femaleAgeClass 8",16,17.6666666666667,4.66666666666667,3.33333333333333
