,bike,walk,motorcycle,car,bus,truck,one-party,,
bike,0,0,0,0.181818182,0,0,0,local fatal,NHW
walk,0,0.004193449,0,0.044031217,0.023063971,0,0,local fatal,
motorcycle,0,0,0,0,0.090909091,0,0.363636364,local fatal,
car,0,0,0,0.090909091,0.272727273,0,1,local fatal,
bus,0,0.090909091,0.090909091,0,0,0,0.363636364,local fatal,
truck,0.002807731,0,0,0.002807731,0.002807731,0,0.002807731,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0.002096725,0,0.004193449,0.004193449,0,0,arterial fatal,
motorcycle,0,0,0,0.227272727,0,0,0.090909091,arterial fatal,
car,0,0.181818182,0,0.863636364,0.727272727,0,0.454545455,arterial fatal,
bus,0.090909091,0,0,0.545454545,0.136363636,0,0.090909091,arterial fatal,
truck,0,0,0,0.002807731,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.010483623,0.006290174,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
truck,0,0,0,0.002807731,0,0,0,highway fatal,
bike,0.012633271,0.002296958,0,0.081542023,0.027563501,0.002296958,0.091878335,local serious,
walk,0,0.014677072,0,0.234833159,0.041934493,0,0,local serious,
motorcycle,0,0,0.090909091,0.272727273,0.090909091,0,1.636363636,local serious,
car,0.090909091,0.090909091,0.272727273,0.272727273,0.454545455,0.090909091,1.636363636,local serious,
bus,0.181818182,0,0.090909091,0.090909091,0,0,0.272727273,local serious,
truck,0.002807731,0,0,0,0.002807731,0,0,local serious,
bike,0,0,0,0.009187834,0.006890875,0,0.025266542,arterial serious,
walk,0,0.002096725,0,0.037741043,0.008386899,0,0,arterial serious,
motorcycle,0,0,0,0.227272727,0.090909091,0,0.272727273,arterial serious,
car,0.090909091,0,0.090909091,2.136363636,1,0,0.909090909,arterial serious,
bus,0,0,0,0.863636364,0.545454545,0,0.363636364,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.020967246,0.004193449,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0,highway serious,
car,0,0,0,0,0,0,0,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
truck,0,0,0,0.002807731,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.021360158,0,0,0.001941833,local fatal,Three
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,0,0,0.090909091,0,0.090909091,local fatal,
car,0,0,0,0,0,0,0.545454545,local fatal,
bus,0,0,0.090909091,0.090909091,0,0,0.181818182,local fatal,
truck,0,0,0,0,0.00943534,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0.045454545,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0,arterial fatal,
car,0.090909091,0.090909091,0,0.954545455,0.409090909,0,0.545454545,arterial fatal,
bus,0,0.090909091,0,0.409090909,0.272727273,0,0,arterial fatal,
truck,0,0,0,0.003145113,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
truck,0,0,0,0,0,0,0.003145113,highway fatal,
bike,0.001941833,0,0,0.028156572,0.012621912,0,0.009709163,local serious,
walk,0,0,0,0.090909091,0,0,0,local serious,
motorcycle,0,0,0,0.090909091,0,0,0.090909091,local serious,
car,0.090909091,0,0,0.181818182,0.090909091,0,1.545454545,local serious,
bus,0.090909091,0,0,0.363636364,0.090909091,0,0.636363636,local serious,
truck,0.003145113,0,0.003145113,0.001572557,0.026733464,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0,0.045454545,0,0,0.090909091,arterial serious,
car,0,0.090909091,0,2.545454545,1,0,0.454545455,arterial serious,
bus,0,0,0,0.681818182,0.454545455,0,0.181818182,arterial serious,
truck,0,0,0,0,0.003145113,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0,highway serious,
car,0,0,0,0,0,0,0,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
truck,0,0,0,0,0,0,0.006290227,highway serious,
