,bike,walk,motorcycle,car,truck,bus,one-party,,
bike,0,0,0,0.045454545,0.090909091,0,0,local fatal,NHW
walk,0,0,0,0,0.090909091,0,0,local fatal,
motorcycle,0,0,0,0.181818182,0,0.090909091,1.090909091,local fatal,
car,0,0.181818182,0.181818182,1.090909091,0.181818182,0,2.636363636,local fatal,
truck,0,0.181818182,0,0.318181818,0.181818182,0,0.454545455,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0.181818182,0,0,0,arterial fatal,
walk,0,0,0,0.045454545,0.090909091,0,0,arterial fatal,
motorcycle,0,0,0,0.090909091,0.090909091,0,0.272727273,arterial fatal,
car,0.090909091,0.863636364,0.090909091,0.727272727,0.272727273,0,0.454545455,arterial fatal,
truck,0,0.136363636,0.181818182,0.363636364,0.090909091,0,0.181818182,arterial fatal,
bus,0,0,0,0.090909091,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.045454545,0,0,0,highway fatal,
motorcycle,0,0,0,0.045454545,0,0,0.363636364,highway fatal,
car,0,0.272727273,0,0.363636364,0.045454545,0,1.363636364,highway fatal,
truck,0.090909091,0.045454545,0.090909091,0.045454545,0.136363636,0,0.181818182,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0.090909091,0,0,0.454545455,0.181818182,0,0.727272727,local serious,
walk,0,0,0,0.363636364,0.272727273,0,0,local serious,
motorcycle,0,0,0.272727273,1.363636364,0.136363636,0,5.090909091,local serious,
car,0.454545455,0.727272727,0.545454545,4.454545455,1,0,8.636363636,local serious,
truck,0.272727273,0.090909091,0.545454545,0.954545455,0.318181818,0,2.090909091,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0.272727273,0.181818182,0,0.454545455,arterial serious,
walk,0,0,0,0.454545455,0.090909091,0,0,arterial serious,
motorcycle,0,0,0,0.090909091,0.090909091,0,1,arterial serious,
car,0,0.454545455,0.636363636,2,1.136363636,0,2.090909091,arterial serious,
truck,0,0.181818182,0.363636364,0.772727273,0.454545455,0,1,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0.272727273,0.181818182,0,1.363636364,highway serious,
car,0,0,0.863636364,2.090909091,0.227272727,0,5.272727273,highway serious,
truck,0,0,0.227272727,1,0.454545455,0,2.454545455,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,NHB
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,0,0,0,0,0,local fatal,
car,0,0,0,0,0,0,0,local fatal,
truck,0,0,0,0,0,0,0,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0,arterial fatal,
car,0,0,0,0,0,0,0,arterial fatal,
truck,0,0,0,0,0,0,0,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0,0,0,0.272727273,highway fatal,
truck,0,0,0,0,0,0,0.363636364,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0,0,0,0,local serious,
walk,0,0,0,0,0,0,0,local serious,
motorcycle,0,0,0,0,0,0,0.090909091,local serious,
car,0,0,0,0.090909091,0,0,0,local serious,
truck,0,0,0,0,0,0,0,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0,0,0,0,0,arterial serious,
car,0,0,0,0,0,0,0,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0,highway serious,
car,0,0,0,0,0,0,0.454545455,highway serious,
truck,0,0,0,0,0,0,0.090909091,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,NHO
walk,0,0,0,0.090909091,0,0,0,local fatal,
motorcycle,0,0,0,0,0,0,0,local fatal,
car,0,0.181818182,0.090909091,0,0,0,0.090909091,local fatal,
truck,0,0,0,0,0,0,0,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0.090909091,arterial fatal,
car,0,0,0,0.045454545,0,0,0,arterial fatal,
truck,0,0,0,0,0,0,0,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0.181818182,0,0,0,0,0.181818182,highway fatal,
truck,0,0,0,0.090909091,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0.090909091,0,0,0,local serious,
walk,0,0,0,0,0,0,0,local serious,
motorcycle,0,0,0,0,0,0,0.090909091,local serious,
car,0.090909091,0,0,0.818181818,0.045454545,0,0.818181818,local serious,
truck,0,0,0.090909091,0.181818182,0,0,0.181818182,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0.045454545,0,0,0,arterial serious,
motorcycle,0,0,0,0,0,0,0.181818182,arterial serious,
car,0,0,0.090909091,0.181818182,0.045454545,0,0.090909091,arterial serious,
truck,0,0,0,0,0,0,0.090909091,arterial serious,
bus,0,0,0,0,0.090909091,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0.090909091,highway serious,
car,0,0,0.045454545,0.363636364,0.181818182,0,0.545454545,highway serious,
truck,0,0,0,0.363636364,0,0,0.090909091,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,HO
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,0,0,0,0,0,local fatal,
car,0,0,0,0.227272727,0,0,0.181818182,local fatal,
truck,0,0,0,0.272727273,0,0,0,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0,arterial fatal,
car,0,0,0,0,0,0,0.272727273,arterial fatal,
truck,0,0,0,0,0,0,0,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0.090909091,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0,0,0,0.454545455,highway fatal,
truck,0,0,0,0,0.090909091,0,0.090909091,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0.090909091,0,0,0.090909091,local serious,
walk,0,0,0,0,0,0,0,local serious,
motorcycle,0,0,0,0.090909091,0,0,0.363636364,local serious,
car,0,0,0,0.454545455,0.090909091,0,1.636363636,local serious,
truck,0.090909091,0.090909091,0,0.090909091,0.090909091,0,0.181818182,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0.045454545,0.045454545,0,0,arterial serious,
motorcycle,0,0,0,0,0,0,0.090909091,arterial serious,
car,0.090909091,0,0,0.227272727,0,0,0.363636364,arterial serious,
truck,0.090909091,0,0.181818182,0,0,0,0,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.136363636,0,0,0,highway serious,
motorcycle,0,0,0,0.090909091,0,0,0,highway serious,
car,0,0,0.227272727,0.227272727,0,0,0.909090909,highway serious,
truck,0,0,0,0.318181818,0.181818182,0,0.181818182,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
