,bike,walk,motorcycle,car,truck,bus,one-party,,
bike,0,0,0,0.454545455,0.090909091,0,0.090909091,local fatal,NHW
walk,0,0.090909091,0,0.863636364,0.409090909,0,0,local fatal,
motorcycle,0.090909091,0,0.045454545,1.318181818,0.181818182,0,1.727272727,local fatal,
car,0.5,3.954545455,0.772727273,3.045454545,0.545454545,0,3.636363636,local fatal,
truck,0.409090909,1.136363636,0.272727273,1.318181818,0.090909091,0,1,local fatal,
bus,0.090909091,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0.045454545,0,0.045454545,0,0,0,arterial fatal,
motorcycle,0,0,0,0.136363636,0.272727273,0,0.727272727,arterial fatal,
car,0,0.181818182,0.318181818,1.863636364,0.227272727,0,2.636363636,arterial fatal,
truck,0,0.227272727,0.363636364,0.545454545,0.136363636,0,0.454545455,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.181818182,0.045454545,0,0,highway fatal,
motorcycle,0,0,0,0.090909091,0,0,0.454545455,highway fatal,
car,0,0.818181818,0.090909091,1.681818182,0.136363636,0,1.818181818,highway fatal,
truck,0,0.227272727,0.136363636,0.318181818,0,0,0.909090909,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0.090909091,0.090909091,0,2.090909091,0.909090909,0.090909091,1.636363636,local serious,
walk,0,0.136363636,0,3.772727273,0.545454545,0,0,local serious,
motorcycle,0.454545455,0.5,0.818181818,11.18181818,1.590909091,0.090909091,8.727272727,local serious,
car,4.090909091,7.818181818,4.136363636,17.22727273,5.045454545,0,15.09090909,local serious,
truck,1.818181818,1.545454545,0.909090909,5.772727273,1.863636364,0,3,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0.090909091,0,0.090909091,arterial serious,
walk,0,0.045454545,0,0.181818182,0.090909091,0,0,arterial serious,
motorcycle,0,0,0.045454545,0.909090909,0.136363636,0,2.909090909,arterial serious,
car,0.090909091,0.272727273,0.818181818,3.363636364,1.318181818,0,3.636363636,arterial serious,
truck,0,0,0.227272727,1.818181818,0.409090909,0.090909091,1.090909091,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.454545455,0.090909091,0,0,highway serious,
motorcycle,0.181818182,0.090909091,0.045454545,1.272727273,0.181818182,0,2.272727273,highway serious,
car,0.272727273,0.227272727,1.090909091,6.090909091,0.545454545,0,5.363636364,highway serious,
truck,0,0,0.363636364,2,0.5,0,1,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.090909091,0,0,0,local fatal,NHB
walk,0,0.045454545,0.045454545,0.181818182,0.090909091,0,0,local fatal,
motorcycle,0,0,0,0,0.045454545,0,0,local fatal,
car,0.454545455,0.636363636,0.409090909,0.5,0.045454545,0,0.727272727,local fatal,
truck,0,0.136363636,0.090909091,0,0,0,0.090909091,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0.090909091,0,0,0,arterial fatal,
car,0,0.090909091,0.136363636,0.590909091,0,0,0.909090909,arterial fatal,
truck,0,0,0,0.090909091,0,0,0,arterial fatal,
bus,0,0,0,0.090909091,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.045454545,0,0,0,highway fatal,
motorcycle,0,0,0,0,0.090909091,0,0,highway fatal,
car,0,0.090909091,0,0.318181818,0.272727273,0,1,highway fatal,
truck,0,0,0,0,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0.363636364,0.181818182,0,0.090909091,local serious,
walk,0,0.136363636,0.045454545,1.272727273,0.363636364,0,0,local serious,
motorcycle,0,0,0.181818182,0.590909091,0.181818182,0,0.727272727,local serious,
car,1.409090909,1.818181818,0.909090909,4.090909091,0.590909091,0,4.090909091,local serious,
truck,0.090909091,0.090909091,0.090909091,0,0.045454545,0,0.272727273,local serious,
bus,0,0,0,0.045454545,0.181818182,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0.045454545,0,0,arterial serious,
motorcycle,0,0,0,0.181818182,0,0,0.181818182,arterial serious,
car,0,0.181818182,0.227272727,1.318181818,0.045454545,0,2.363636364,arterial serious,
truck,0,0,0,0.181818182,0,0,0.090909091,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.045454545,0,0,0,highway serious,
motorcycle,0,0,0,0.090909091,0,0,0.454545455,highway serious,
car,0,0.090909091,0.318181818,1.227272727,0.454545455,0,2.909090909,highway serious,
truck,0,0,0,0.181818182,0,0,0.181818182,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0,0,0,0,local fatal,NHO
walk,0,0,0,0.181818182,0.181818182,0,0,local fatal,
motorcycle,0,0,0.090909091,0.181818182,0.090909091,0,0.181818182,local fatal,
car,0.454545455,0.818181818,0.363636364,1.181818182,0.045454545,0,0.818181818,local fatal,
truck,0.090909091,0.045454545,0,0.363636364,0.090909091,0,0.090909091,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0.090909091,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0.045454545,0,0.272727273,arterial fatal,
car,0,0.181818182,0,0.136363636,0.045454545,0,0.636363636,arterial fatal,
truck,0,0,0.136363636,0.181818182,0.090909091,0,0.090909091,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0.090909091,highway fatal,
car,0,0.045454545,0,1.045454545,0.318181818,0,1,highway fatal,
truck,0,0.090909091,0,0.181818182,0.181818182,0,0.090909091,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0.5,0.181818182,0,0.090909091,local serious,
walk,0,0,0,0.454545455,0,0,0,local serious,
motorcycle,0,0,0,0.590909091,0.090909091,0,0.636363636,local serious,
car,1.363636364,3.181818182,0.954545455,6.545454545,0.818181818,0,3.545454545,local serious,
truck,0.090909091,0.409090909,0.272727273,1.136363636,0.090909091,0,0.272727273,local serious,
bus,0.090909091,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0,0.181818182,0.090909091,0,0.090909091,arterial serious,
car,0.090909091,0.227272727,0.5,1.181818182,0.227272727,0,2,arterial serious,
truck,0,0,0.136363636,0.636363636,0.090909091,0,0.454545455,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.090909091,0,0,0,highway serious,
motorcycle,0,0,0,0.090909091,0,0,0.181818182,highway serious,
car,0.090909091,0.181818182,0.363636364,1.818181818,0.409090909,0,2.454545455,highway serious,
truck,0,0.090909091,0,0.590909091,0.181818182,0,0.545454545,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.545454545,0,0,0,local fatal,HO
walk,0,0.090909091,0,0,0.363636364,0,0,local fatal,
motorcycle,0,0,0,0.045454545,0,0,0,local fatal,
car,0.454545455,1.772727273,0.318181818,0.636363636,0.636363636,0,2.818181818,local fatal,
truck,0.454545455,0.363636364,0.090909091,0.318181818,0.272727273,0,0.545454545,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0.272727273,arterial fatal,
car,0.090909091,0,0,0.227272727,0.181818182,0,0.909090909,arterial fatal,
truck,0,0,0,0.863636364,0,0,0.363636364,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.181818182,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0.136363636,0,0.363636364,0,0,0.454545455,highway fatal,
truck,0,0.090909091,0.045454545,0.590909091,0.363636364,0,0.272727273,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
bike,0.090909091,0,0,0.272727273,0.136363636,0,0.090909091,local serious,
walk,0,0.045454545,0,0.772727273,0.363636364,0,0,local serious,
motorcycle,0,0.090909091,0.181818182,0.363636364,0.090909091,0,1.454545455,local serious,
car,1.545454545,2.181818182,1.227272727,4.454545455,1.909090909,0,6.545454545,local serious,
truck,0.363636364,0.545454545,0.363636364,1.5,0.681818182,0,1.272727273,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0.090909091,0.045454545,0,0,arterial serious,
motorcycle,0,0,0.136363636,0.227272727,0,0,0.272727273,arterial serious,
car,0,0,0.363636364,0.909090909,0.318181818,0,3,arterial serious,
truck,0,0,0.090909091,1,0.136363636,0,0.636363636,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.136363636,0.045454545,0,0,highway serious,
motorcycle,0,0,0.045454545,0.090909091,0,0,0.545454545,highway serious,
car,0.090909091,0.090909091,0.318181818,1,0.409090909,0,3.090909091,highway serious,
truck,0.090909091,0.090909091,0,1,0.181818182,0,0.818181818,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
