,,ELD_NHW,,ELD_Other,,PLA_NHW,,PLA_Other,,SAC_NHW,,SAC_Other,,SUT_NHW,,SUT_Other,,YOL_NHW,,YOL_Other,,YUB_NHW,,YUB_Other,
PersonDistance(miles per day),bike,0.04571788,,0.05892747,,0.05643491,,0.06909654,,0.1096432,,0.1320118,,0.07028952,,0.09253466,,0.694201,,0.9610143,,0.05382317,,0.07434145,
,walk,0.11889758,,0.13183513,,0.16372159,,0.19346447,,0.2871733,,0.3245583,,0.24232173,,0.28235441,,0.380169,,0.403361,,0.18745981,,0.23032613,
,motorcycle,0.4893831,,0.40924993,,0.37463684,,0.33485608,,0.2973246,,0.2516631,,0.28005662,,0.22847279,,0.2595392,,0.199428,,0.41153001,,0.3239474,
,car,22.02223961,,18.41624703,,16.85865785,,15.0685236,,13.3796087,,11.3248401,,12.60254803,,10.28127577,,11.6792662,,8.9742598,,18.51885029,,14.57763279,
,truck,1.46814931,,1.2277498,,1.12391052,,1.00456824,,0.8919739,,0.7549893,,0.84016987,,0.68541838,,0.7786177,,0.598284,,1.23459002,,0.97184219,
,bus,0.4893831,,0.40924993,,0.37463684,,0.33485608,,0.2973246,,0.2516631,,0.28005662,,0.22847279,,0.2595392,,0.199428,,0.41153001,,0.3239474,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
