,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_NHB,,Scenario2020_NHB,,Scenario2036_NHB,,Baseline_NHO,,Scenario2020_NHO,,Scenario2036_NHO,,Baseline_HO,,Scenario2020_HO,,Scenario2036_HO,
PersonDistance(miles per day),bike,0.04982389,,0.0525375,,0.05643491,,0.0576263,,0.03687797,,0.05424466,,0.05504898,,0.06319418,,0.06817742,,0.07756274,,0.07938491,,0.07067332,
,walk,0.15481108,,0.1501452,,0.16372159,,0.1678603,,0.13904746,,0.20643554,,0.16429955,,0.16003238,,0.18603526,,0.18349509,,0.18578583,,0.1985358,
,motorcycle,0.39602115,,0.4472489,,0.37463684,,0.4348932,,0.48807092,,0.41254045,,0.38416521,,0.43615362,,0.36914718,,0.31716317,,0.36062583,,0.30351286,
,car,17.8209518,,20.1262026,,16.85865785,,19.5701919,,21.96319119,,18.56432044,,17.28743439,,19.62691303,,16.61162314,,14.27234259,,16.22816224,,13.65807848,
,bus,0.39602115,,0.4472489,,0.37463684,,0.4348932,,0.48807092,,0.41254045,,0.38416521,,0.43615362,,0.36914718,,0.31716317,,0.36062583,,0.30351286,
,truck,1.18806345,,1.3417468,,1.12391052,,1.3046795,,1.46421275,,1.23762136,,1.15249563,,1.30846087,,1.10744154,,0.95148951,,1.08187748,,0.91053857,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
