,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_Other,,Scenario2020_Other,,Scenario2036_Other,
PersonDistance(miles per day),bike,0.07370826,,0.06916029,,0.07028952,,0.08920529,,0.08963176,,0.09253466,
,walk,0.23587278,,0.23158981,,0.24232173,,0.28881345,,0.27699627,,0.28235441,
,motorcycle,0.26938771,,0.40391476,,0.28005662,,0.21831776,,0.32819322,,0.22847279,
,car,12.12244693,,18.17616441,,12.60254803,,9.82429919,,14.76869495,,10.28127577,
,bus,0.26938771,,0.40391476,,0.28005662,,0.21831776,,0.32819322,,0.22847279,
,truck,0.80816313,,1.21174429,,0.84016987,,0.65495328,,0.98457966,,0.68541838,
,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,
