,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_NHB,,Scenario2020_NHB,,Scenario2036_NHB,,Baseline_NHO,,Scenario2020_NHO,,Scenario2036_NHO,,Baseline_HO,,Scenario2020_HO,,Scenario2036_HO,
PersonDistance(miles per day),bike,0.05203168,,0.05488777,,0.05382317,,0.08937112,,0.03309343,,0.07949525,,0.07105663,,0.06412764,,0.07476695,,0.0769778,,0.07467837,,0.07373029,
,walk,0.16491139,,0.17179427,,0.18745981,,0.21100932,,0.21424913,,0.22099169,,0.20506854,,0.19653212,,0.21035094,,0.2149852,,0.21448395,,0.24373225,
,motorcycle,0.42535277,,0.59421518,,0.41153001,,0.45842457,,0.6049598,,0.44361766,,0.33377282,,0.47960256,,0.32886295,,0.3135238,,0.44277592,,0.31293585,
,car,19.14087468,,26.73968299,,18.51885029,,20.62910553,,27.2231911,,19.96279479,,15.01977677,,21.58211535,,14.79883291,,14.1085691,,19.92491657,,14.08211341,
,bus,0.42535277,,0.59421518,,0.41153001,,0.45842457,,0.6049598,,0.44361766,,0.33377282,,0.47960256,,0.32886295,,0.3135238,,0.44277592,,0.31293585,
,truck,1.27605831,,1.78264553,,1.23459002,,1.3752737,,1.81487941,,1.33085299,,1.00131845,,1.43880769,,0.98658886,,0.9405713,,1.32832777,,0.93880756,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
