,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_Other,,Scenario2020_Other,,Scenario2036_Other,
PersonDistance(miles per day),bike,0.05203168,,0.05488777,,0.05382317,,0.07526085,,0.06909079,,0.07434145,
,walk,0.16491139,,0.17179427,,0.18745981,,0.21119256,,0.20773102,,0.23032613,
,motorcycle,0.42535277,,0.59421518,,0.41153001,,0.32634053,,0.46294428,,0.3239474,
,car,19.14087468,,26.73968299,,18.51885029,,14.68532368,,20.83249279,,14.57763279,
,bus,0.42535277,,0.59421518,,0.41153001,,0.32634053,,0.46294428,,0.3239474,
,truck,1.27605831,,1.78264553,,1.23459002,,0.97902158,,1.38883285,,0.97184219,
,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,
