,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_NHB,,Scenario2020_NHB,,Scenario2036_NHB,,Baseline_NHO,,Scenario2020_NHO,,Scenario2036_NHO,,Baseline_HO,,Scenario2020_HO,,Scenario2036_HO,
PersonDistance(miles per day),bike,0.03835516,,0.03641766,,0.04571788,,0.01184149,,0.01183471,,0.01264476,,0.06096075,,0.05037575,,0.05660244,,0.06888676,,0.05189404,,0.06208363,
,walk,0.10240558,,0.11073233,,0.11889758,,0.06808858,,0.03694215,,0.0842723,,0.13816441,,0.12281109,,0.13792702,,0.13379709,,0.13216191,,0.12863976,
,motorcycle,0.51025255,,0.60844303,,0.4893831,,0.31689664,,0.37091478,,0.30017074,,0.4735414,,0.56655042,,0.45464604,,0.38615631,,0.4702014,,0.37806434,
,car,22.96136464,,27.37993647,,22.02223961,,14.26034865,,16.69116517,,13.5076831,,21.30936311,,25.49476889,,20.45907195,,17.37703405,,21.15906295,,17.01289514,
,bus,0.51025255,,0.60844303,,0.4893831,,0.31689664,,0.37091478,,0.30017074,,0.4735414,,0.56655042,,0.45464604,,0.38615631,,0.4702014,,0.37806434,
,truck,1.53075764,,1.8253291,,1.46814931,,0.95068991,,1.11274434,,0.90051221,,1.42062421,,1.69965126,,1.36393813,,1.15846894,,1.4106042,,1.13419301,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
