,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_Other,,Scenario2020_Other,,Scenario2036_Other,
PersonDistance(miles per day),bike,0.04982389,,0.0525375,,0.05643491,,0.06703226,,0.07106527,,0.06909654,
,walk,0.15481108,,0.1501452,,0.16372159,,0.17456088,,0.17320882,,0.19346447,
,motorcycle,0.39602115,,0.4472489,,0.37463684,,0.35039631,,0.39720803,,0.33485608,
,car,17.8209518,,20.1262026,,16.85865785,,15.76783413,,17.8743613,,15.0685236,
,truck,1.18806345,,1.3417468,,1.12391052,,1.05118894,,1.19162409,,1.00456824,
,bus,0.39602115,,0.4472489,,0.37463684,,0.35039631,,0.39720803,,0.33485608,
,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,truck,1,,1,,1,,1,,1,,1,
,bus,10,,10,,10,,10,,10,,10,
