,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_NHB,,Scenario2020_NHB,,Scenario2036_NHB,,Baseline_NHO,,Scenario2020_NHO,,Scenario2036_NHO,,Baseline_HO,,Scenario2020_HO,,Scenario2036_HO,
PersonDistance(miles per day),bike,0.08741941,,0.09316175,,0.1096432,,0.1089456,,0.1122785,,0.1303051,,0.1017202,,0.1048388,,0.1251066,,0.11205,,0.1167013,,0.1398214,
,walk,0.23701833,,0.24701498,,0.2871733,,0.280502,,0.2856918,,0.3268477,,0.2683807,,0.2715731,,0.3171071,,0.2861796,,0.2883713,,0.3311588,
,motorcycle,0.31886811,,0.33039755,,0.2973246,,0.2486253,,0.2657325,,0.2420997,,0.2818824,,0.2987358,,0.2719061,,0.2422502,,0.2581201,,0.2352094,
,car,14.34906473,,14.86788975,,13.3796087,,11.1881368,,11.957964,,10.8944873,,12.6847083,,13.443109,,12.2357764,,10.9012574,,11.6154042,,10.5844247,
,bus,0.31886811,,0.33039755,,0.2973246,,0.2486253,,0.2657325,,0.2420997,,0.2818824,,0.2987358,,0.2719061,,0.2422502,,0.2581201,,0.2352094,
,truck,0.95660432,,0.99119265,,0.8919739,,0.7458758,,0.7971976,,0.7262992,,0.8456472,,0.8962073,,0.8157184,,0.7267505,,0.7743603,,0.7056283,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
