,,Baseline_NHW,,Scenario2020_NHW,,Scenario2036_NHW,,Baseline_NHB,,Scenario2020_NHB,,Scenario2036_NHB,,Baseline_NHO,,Scenario2020_NHO,,Scenario2036_NHO,,Baseline_HO,,Scenario2020_HO,,Scenario2036_HO,
PersonDistance(miles per day),bike,0.6674275,,0.7606426,,0.694201,,0.5996221,,0.6587952,,0.6254042,,1.1534714,,1.3467502,,1.2134686,,0.7726425,,0.925101,,0.8502576,
,walk,0.2760227,,0.2946921,,0.380169,,0.2587604,,0.299343,,0.3917811,,0.3037759,,0.3136262,,0.3910856,,0.3186317,,0.3266858,,0.4109479,
,motorcycle,0.2963091,,0.3386837,,0.2595392,,0.3649708,,0.4038831,,0.3262646,,0.2348358,,0.2632641,,0.2098696,,0.2026559,,0.2376437,,0.1837428,
,car,13.3339075,,15.2407658,,11.6792662,,16.4236857,,18.1747402,,14.6819079,,10.5676088,,11.8468828,,9.4441332,,9.1195163,,10.6939658,,8.2684254,
,bus,0.2963091,,0.3386837,,0.2595392,,0.3649708,,0.4038831,,0.3262646,,0.2348358,,0.2632641,,0.2098696,,0.2026559,,0.2376437,,0.1837428,
,truck,0.8889272,,1.0160511,,0.7786177,,1.0949124,,1.2116493,,0.9787939,,0.7045073,,0.7897922,,0.6296089,,0.6079678,,0.7129311,,0.5512284,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
