,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,
ageCat1,2323,2557,0,0,426,194,1053,1024,ELD
ageCat2,6334,6944,0,78,1936,821,1825,1796,
ageCat3,9321,8646,0,0,1362,735,2167,2001,
ageCat4,10076,9874,0,0,599,1623,1858,1673,
ageCat5,15952,16203,32,0,1426,1808,1294,1558,
ageCat6,8399,8602,5,0,385,497,290,639,
ageCat7,4657,5167,112,162,299,262,82,244,
ageCat8,2609,3126,31,9,107,208,137,91,
,,,,,,,,,
ageCat1,6551,6197,0,32,1614,1292,1786,2136,PLA
ageCat2,16557,15904,16,202,3556,2551,4194,4364,
ageCat3,21642,20929,270,133,4243,2967,6013,5219,
ageCat4,22234,23110,379,225,4013,4136,4582,4339,
ageCat5,30571,31789,486,389,3336,3625,3173,3186,
ageCat6,16251,18027,233,309,876,1422,1450,1187,
ageCat7,9697,11230,18,0,1057,1114,617,705,
ageCat8,6136,7153,0,0,88,551,225,697,
,,,,,,,,,
ageCat1,15903,16379,5365,4533,11827,10235,15353,15874,SAC
ageCat2,34430,33467,10477,11704,25258,24018,30287,29424,
ageCat3,64583,60255,14829,14283,36393,37516,42692,38979,
ageCat4,58891,57882,9965,11849,26656,30728,31698,29160,
ageCat5,78027,86200,14038,14885,26645,27595,22670,21303,
ageCat6,41205,43992,4315,6485,10688,12410,5861,8265,
ageCat7,21323,24608,2044,2930,4469,7217,3355,4356,
ageCat8,13834,20554,860,1494,2368,3555,1360,2498,
,,,,,,,,,
ageCat1,1457,1317,148,0,447,765,1491,1308,SUT
ageCat2,2538,3038,156,80,1434,1242,3048,2664,
ageCat3,4677,4290,350,287,2164,1976,3412,3145,
ageCat4,4172,4546,172,124,1213,1309,2645,2574,
ageCat5,5756,6029,205,183,1429,1517,1536,1567,
ageCat6,3105,3726,0,61,458,362,600,706,
ageCat7,1523,1829,0,0,442,566,276,393,
ageCat8,857,1479,0,0,359,384,75,265,
,,,,,,,,,
ageCat1,1978,1830,0,0,594,610,3014,3058,YOL
ageCat2,4695,4718,100,0,2085,1771,5865,5961,
ageCat3,12709,12435,1265,65,7075,8034,9815,9350,
ageCat4,7477,7504,558,464,2482,2908,5522,5786,
ageCat5,10428,11238,1185,660,1823,2950,4335,4193,
ageCat6,5500,6440,36,106,659,916,1386,1364,
ageCat7,2595,3273,107,120,451,538,658,741,
ageCat8,1485,2529,139,11,281,227,349,650,
,,,,,,,,,
ageCat1,1117,1116,106,0,419,640,1301,1153,YUB
ageCat2,1967,2316,132,61,1141,1039,2593,2208,
ageCat3,3826,3247,231,193,1749,1678,2672,2343,
ageCat4,3258,3544,141,92,994,1051,2262,1922,
ageCat5,4502,4727,154,126,1131,1164,1304,1151,
ageCat6,2410,2944,0,52,339,265,512,587,
ageCat7,1076,1232,0,0,320,375,184,236,
ageCat8,603,935,0,0,217,245,64,185,
