,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,
ageCat1,683,645,625,587,1098,1022,1396,1521,ELD
ageCat2,1243,1239,1512,1325,2499,2655,4841,4420,
ageCat3,1983,1952,2684,2408,3688,3140,4495,3882,
ageCat4,1457,1542,2290,2115,3675,3791,5111,5722,
ageCat5,2326,2687,3201,3388,4976,5016,8201,8478,
ageCat6,1174,1791,1786,2464,2640,2865,3479,2618,
ageCat7,808,1464,2011,2265,1399,1313,932,793,
ageCat8,690,1219,1117,1208,680,626,397,381,
,,,,,,,,,
ageCat1,1729,1571,1731,1644,2988,2732,3503,3710,PLA
ageCat2,3281,3176,3822,3439,6177,6180,11043,10226,
ageCat3,5443,5263,6904,6428,8703,7889,11118,9668,
ageCat4,3622,3849,5355,5236,8910,8889,13321,13836,
ageCat5,4665,5495,6381,6846,9181,9438,17339,17210,
ageCat6,2684,4134,3648,4898,5414,6182,7064,5731,
ageCat7,2376,4065,3528,3991,3182,3023,2303,1970,
ageCat8,1807,3630,2017,2402,1592,1392,1033,977,
,,,,,,,,,
ageCat1,17285,15959,11797,12296,11751,11044,7615,7722,SAC
ageCat2,31023,31131,25342,23980,23178,23975,20909,19527,
ageCat3,45356,44490,44550,43844,39839,36880,28752,25819,
ageCat4,27513,30669,32848,32098,36427,36290,30422,30562,
ageCat5,29387,34097,33718,36218,36077,37126,42198,42542,
ageCat6,12303,18483,15182,19372,17053,18630,17531,14667,
ageCat7,7710,13698,10300,12684,7233,7476,5948,5253,
ageCat8,5859,12618,6192,8495,3844,4290,2527,2698,
,,,,,,,,,
ageCat1,1268,1151,1088,1069,760,777,427,393,SUT
ageCat2,2132,2154,2307,2119,1528,1562,1209,1189,
ageCat3,3047,2960,3602,3298,2488,2151,1466,1289,
ageCat4,1817,2097,2576,2599,2256,2271,1553,1586,
ageCat5,1997,2254,2566,2601,2164,2253,2199,2188,
ageCat6,926,1350,1135,1476,1070,1188,1032,841,
ageCat7,602,1054,809,891,516,518,314,325,
ageCat8,445,994,489,634,204,327,153,173,
,,,,,,,,,
ageCat1,1668,1525,1396,1349,1274,1297,1248,1327,YOL
ageCat2,3360,3274,3265,3061,2469,2697,3651,3418,
ageCat3,13878,14238,6354,6816,5321,4671,5311,4159,
ageCat4,3042,3464,3967,4068,4192,4104,4838,5026,
ageCat5,2929,3562,3952,4114,4243,4578,6647,6787,
ageCat6,1276,2063,1586,2021,2066,2392,2653,2350,
ageCat7,894,1600,1016,1244,1103,1078,798,750,
ageCat8,664,1570,695,924,574,577,321,346,
,,,,,,,,,
ageCat1,1130,1074,900,943,688,621,225,271,YUB
ageCat2,1977,2079,1879,1686,1313,1260,664,599,
ageCat3,3036,2574,2726,2628,2025,1618,691,641,
ageCat4,1743,1822,2111,2051,1933,1858,868,878,
ageCat5,1795,1940,2365,2300,1661,1637,1270,1291,
ageCat6,807,1118,927,1152,888,1042,639,536,
ageCat7,411,657,631,671,371,358,167,157,
ageCat8,301,673,353,400,164,230,66,62,
