,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.189302286,0.261807492,0.19619732,0.194201796,0.340886344,0.212002694,0.589955763,0.560552884,relative.walk.time,ELD
ageCat2,2.41221847,2.275816192,2.362131578,2.140962051,1.781711784,1.731574848,1.918934364,1.918499885,,
ageCat3,0.755605231,1,0.897840272,1,0.617600263,1,1.02858057,1,,
ageCat4,0.589580262,1.005360091,0.608431223,0.781144776,0.617966443,0.569816377,0.971833704,0.882379556,,
ageCat5,0.451017591,0.739972691,0.831559625,0.917047381,0.644131191,0.615978523,0.871811101,0.852467521,,
ageCat6,0.502253873,0.66937685,0.72164274,0.67109458,0.568241378,0.444297497,0.687557911,0.714532171,,
ageCat7,0.459433607,0.651015408,0.67310664,0.60976372,0.428408531,0.472735902,0.477051881,0.480807972,,
ageCat8,0.612751231,0.579150083,0.551645469,0.54279622,0.359535033,0.14071907,0.566499154,0.400627119,,
, , , , , , , , , ,
ageCat1,0.852542976,0.458166314,0.915965117,0.183199805,1.431340161,0.269989385,0.80379151,0.157726749,relative.cycle.time,
ageCat2,4.867919564,2.20349313,3.547176509,1.60520646,6.761744476,2.461302803,3.742837695,2.054818218,,
ageCat3,2.39201251,1,2.175902737,1,2.331370111,1,1.496901459,1,,
ageCat4,0.912706796,0.481274385,1.028339136,0.324086873,0.812226864,0.397142622,0.646700226,0.147806954,,
ageCat5,0.652811148,0.073834669,0.604632316,0.216481188,0.530673149,0.342408214,0.575606251,0.096037323,,
ageCat6,0.634744249,0.320548369,0.476519283,0.111254301,0.852053232,0.380133131,0.556692088,0.170368696,,
ageCat7,0.732378798,0.348081547,0.671729057,0.06937721,0.172961421,0.002213763,0.130815242,0.115590226,,
ageCat8,0.291646466,0.422347198,0.245713371,0.405315618,0.998428568,0.697417888,0.357039344,0.60344826,,
, , , , , , , , , ,
ageCat1,0.999627625,0.998881649,0.998311025,1.000147506,0.999661059,0.998449859,1.000274724,1.00039197,relative.walk.speed,
ageCat2,1.000098049,1.000059053,0.999836222,0.999914922,1.000017023,1.000138307,0.999945794,0.999977961,,
ageCat3,1.000408328,1,1.000452588,1,1.000168216,1,1.000040143,1,,
ageCat4,1.000422444,1.000242492,1.000436918,1.000046526,1.000129768,0.999977822,1.00008059,1.000016154,,
ageCat5,1.000480467,1.000128291,1.000091566,1.0002779,0.999930206,1.000166483,1.00012523,1.000096863,,
ageCat6,1.00004283,0.999898823,1.000009917,1.000151872,0.999764293,0.999729709,0.999583195,0.99968722,,
ageCat7,0.999827965,1.000318952,1.00021496,1.000239177,1.000155893,1.000467269,0.999876132,0.999380942,,
ageCat8,1.000239207,0.999926208,1.00008589,1.000373335,1.001005363,1.000177209,1.00024594,1.000427945,,
, , , , , , , , , ,
ageCat1,1.000056386,1.00010523,0.999581991,1.000851061,1.000585668,1.00084341,1.00012606,1.000190916,relative.cycle.speed,
ageCat2,1.00006222,1.000010303,0.999576495,0.99966913,0.999862468,0.99994501,1.000024881,1.00014213,,
ageCat3,1.000006351,1,0.999848335,1,0.999816019,1,1.000126393,1,,
ageCat4,1.000121174,0.999954774,0.999847496,1.00018734,0.999886793,0.999612489,1.000018685,0.999902823,,
ageCat5,0.99984294,0.999637024,1.000095894,1.000172803,0.999982469,1.000018158,1.000136427,0.999755692,,
ageCat6,0.999878744,0.999947493,0.999792269,1.00032499,0.999886983,1.000476465,1.000029073,0.999396277,,
