"","male.Demogr.1","female.Demogr.1","male.Demogr.2","female.Demogr.2","male.Demogr.3","female.Demogr.3","male.Demogr.4","female.Demogr.4","",""
"ageCat1","0.265681372138911","0.389794667707329","0","0","0.440629341706293","0.434328194262877","0.302405310006935","0.37743331791311","relative.walk.time","ELD"
"ageCat2","1.82695803194378","2.23909304876205","0","532.153846153846","1.60221187131206","1.44558475004153","1.98305060433582","2.17801883278052","",""
"ageCat3","0.986241257295497","1","0","1","0.634819703988835","1","0.89725638930301","1","",""
"ageCat4","0.906743934090309","0.951024909963098","0","0","0.371004161906265","0.815027023801062","0.771624776619452","0.86077127914094","",""
"ageCat5","0.817670231793313","0.789661492040925","229.611111111111","0","0.796303099732954","0.77221544662841","0.915924068609005","0.632797145115448","",""
"ageCat6","0.591576182771802","0.786389179384902","351.625","0","0.465256985948777","0.935777977764186","0.629414989562959","1.02006094173108","",""
"ageCat7","0.681026101289636","0.615795458963249","61.0049751243781","165.853383458647","0.342108154764828","0.347372912840474","0.936153803111492","0.264041293904895","",""
"ageCat8","0.465238846627615","0.478922604849767","127.77027027027","805.95652173913","0.48091618236316","0.622506628503002","0.75220232269636","1.12160699490498","",""
"","","","","","","","","","",""
"ageCat1","0.502087682613355","0.561533693821104","0","0","0.209819503200345","0.395685020063127","0.847902415690026","0.603511310255283","relative.cycle.time",""
"ageCat2","3.17450870058648","1.31243325170398","0","21.6923076923077","1.8771849604757","0.514028050421733","5.43506715253326","2.59991733031369","",""
"ageCat3","1.36111511659293","1","0","1","1.38386624749578","1","1.97156880745174","1","",""
"ageCat4","0.919324804106517","0.389287578718365","0","0","0.214722302813561","0.213049010253107","1.25045913978459","1.06786519917702","",""
"ageCat5","0.675699406584889","0.220993042320153","12.6111111111111","0","0.218984746684323","0.0120130150403807","1.39943162450305","0.589947378600695","",""
"ageCat6","0.385735620213107","0.138832670272771","0","0","0","0","0.392669217890457","0.893215107424023","",""
"ageCat7","0.382483456971328","0.255007890929496","46.9004975124378","0","0.701292409776292","0","0","0.459620387349001","",""
"ageCat8","0.358841254735243","0.228399223539889","0","0","0","0.0637112739896066","0.774534969782688","1.45410940835072","",""
"","","","","","","","","","",""
"ageCat1","0.999853810393986","1.00054760536956","0","0","1.00065680310175","0.997977499395645","0.999278705328024","0.999084430057841","relative.walk.speed",""
"ageCat2","1.00016742015325","1.00017431096679","0","300.086730268864","0.999831123957454","0.999967793135375","0.999642387404569","0.999580017835712","",""
"ageCat3","1.0002096151511","1","0","1","0.999964144505663","1","0.999520181275415","1","",""
"ageCat4","1.00040384404637","1.00015035115895","0","0","1.0002165132605","0.999711856742591","0.999293436164583","0.999530675446417","",""
"ageCat5","1.00018184129538","1.00003274635105","299.056375514154","0","0.999617182657339","0.999864740977208","0.999507927894654","0.999785725408105","",""
"ageCat6","1.00033381888791","1.0003164173852","298.613579808034","0","1.0000999610971","0.999541998354348","0.999117268721195","1.00002747536477","",""
"ageCat7","1.00016154977986","1.00026061856119","300.929701516881","299.884398304508","0.998353628430463","0.998392391707206","0.999300819068603","0.998664415941607","",""
"ageCat8","1.00020716697524","1.00014763596737","299.524061343205","300.372228515941","0.998780452813162","1.00068981637723","0.999911195258652","0.998883898691849","",""
"","","","","","","","","","",""
"ageCat1","1.00019827510184","1.00030720196681","0","0","1.00017806450994","1.00026140457948","0.999627652972571","0.999813884235995","relative.cycle.speed",""
"ageCat2","1.00001430303713","0.999879980326871","0","1000","0.999931097716919","1.00002938798328","1.0000877591279","1.00010369389562","",""
"ageCat3","1.00002353218214","1","0","1","0.999719483876203","1","0.999980804668305","1","",""
"ageCat4","0.999931185209125","0.99982757042523","0","0","0.999858722854606","0.999979144235174","1.00015132408575","1.00002242906807","",""
"ageCat5","0.999954750803089","1.00015834786106","1004.40528634361","0","0.999711272814367","1.00266731477274","0.999860041987404","0.999906585707613","",""
"ageCat6","0.999944189825644","1.00022592047073","0","0","0","0","1","1.00042413317782","",""
"ageCat7","0.999946317118779","1.0003151725307","999.893921714225","0","1.00001569886887","0","0","1.0032154340836","",""
"ageCat8","0.999869492120879","0.999984845210595","0","0","0","0.995454058877273","0.998609179415855","0.998980112187659","",""
"","","","","","","","","","",""
"ageCat1","0.379325281894734","0.378091211572909","0","0.0696285671846859","0.397482754207629","0.369822985423135","0.341551182100246","0.312632705482562","relative.walk.time","PLA"
"ageCat2","1.90255305712255","1.96968126109537","1.48297768826937","1.92132238968802","1.6416841895744","1.87964201253272","1.98718157610494","2.00413389713669","",""
"ageCat3","0.88594878967335","1","0.496237541703721","1","0.800500230343338","1","0.959178102674326","1","",""
"ageCat4","0.807338089145958","0.79661745333579","0.830279206448003","0.814204586890971","0.710964455701307","0.868578262353762","0.786494128529645","0.875965415329946","",""
"ageCat5","0.812428850577335","0.856889461643504","0.727219348150502","1.26139062700831","0.789410056308345","0.961205427715075","0.741000895175569","0.939095687107082","",""
"ageCat6","0.601264616932308","0.71017039355044","0.480526117664358","0.33851054061621","0.578452300455995","0.628935692453461","0.661144601746355","0.777021216448374","",""
"ageCat7","0.513931848369388","0.721323076264092","0.385947752464769","0","0.488379979255541","0.605150012917044","0.624219543864392","0.539848993776111","",""
"ageCat8","0.434767613768327","0.583673923522063","0","0","0.484629323818823","0.490272978693191","0.475192843339325","0.490709753572915","",""
"","","","","","","","","","",""
"ageCat1","0.871516539081206","0.439613628421988","0","0","0.649781003824637","0.416292789942205","0.362189309080315","0.206261115551772","relative.cycle.time",""
"ageCat2","3.73022206617937","1.87227882982682","3.35543835116731","2.53428401314907","4.42140881126247","2.53786027513284","2.92431535383109","1.58162790224207","",""
"ageCat3","2.2241741444662","1","2.14309254662552","1","2.04938440042671","1","2.15832494690958","1","",""
"ageCat4","1.60170838446974","0.648504503950791","2.90667835865476","1.42491425648843","1.23514580359143","0.878931628461697","1.23488985168286","0.50962139179248","",""
"ageCat5","1.15625413135983","0.395469882751847","2.80357916720453","1.051836262848","1.37006193899867","0.474004314913344","1.10749671001516","0.559873617683418","",""
"ageCat6","0.728680049850752","0.400882699173593","1.95756108557371","0.0351737259809047","1.29559531586246","0.166816139959548","0.598468464466158","0.439089757013426","",""
"ageCat7","0.810009514785346","0.472269910290958","0","0","0.81890420765886","0.294229159866282","0.48335257662946","0.445087269055938","",""
"ageCat8","0.765464182404071","0.331664960946","0","0","0.546945641497908","0.217159307861602","0.620715055226977","0.363049038963021","",""
"","","","","","","","","","",""
"ageCat1","1.00045789910056","0.999821222903749","0","0.988958615420932","0.999988377827678","1.0000862074122","0.999585818525168","0.99990385343544","relative.walk.speed",""
"ageCat2","1.0000200827726","0.999981423451693","1.00055156776727","1.00164103991109","0.999835470425411","1.00012393695291","1.00004902567374","1.00010400631757","",""
"ageCat3","0.999966002873759","1","0.999871798032858","1","0.999961142130591","1","0.999993765193268","1","",""
"ageCat4","1.00012728815116","1.0000450353792","1.0008666334072","1.00119476869815","0.999886724460508","0.999902622119043","1.00022113437265","0.999880686358355","",""
"ageCat5","1.00008331040414","1.00001569185376","1.00050135408491","1.00102286723708","0.999810765996925","0.999982465770077","1.00000495889037","1.00015863189165","",""
"ageCat6","1.00008024868048","1.00003608874078","1.00157838225218","1.00131382054935","1.00000929153808","0.999991914958589","0.999897480458363","1.00019260919071","",""
"ageCat7","1.0001149609378","0.999951727448805","0.998039151471352","0","1.00006731058387","1.00032664335206","1.00010906486943","1.00001448359425","",""
