,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.287211969,0.057352381,0.273587772,0.409737408,0.452333549,0.4179799,0.257770176,0.505182892,relative.walk.time,ELD
ageCat2,2.474348526,3.267580081,1.84529982,2.019221274,2.279200951,2.13869073,2.290513854,1.931790651,,
ageCat3,1.168508401,1,0.779887408,1,1.409138094,1,0.959897867,1,,
ageCat4,1.109874049,0.786431844,0.622529588,0.679619127,0.917903108,0.687796512,0.779344728,0.812357129,,
ageCat5,0.625983112,0.803139877,0.484844556,0.496676189,0.834135523,0.778311323,0.732931293,0.695658372,,
ageCat6,0.651551067,0.43595161,0.449554838,0.545705285,0.44361848,0.541270641,0.575437227,0.582500004,,
ageCat7,0.484634798,0.86992302,0.353420566,0.461105377,0.44947577,0.420418663,0.294789633,0.449306134,,
ageCat8,0.32099048,0.88627852,0.308115416,0.383204472,0.267593096,0.542678624,0.808818591,0.742874604,,
, , , , , , , , , ,
ageCat1,0.092637356,0.064750369,1.94792511,1.259567474,0.949425884,0.057355039,0.676261864,0.517818431,relative.cycle.time,
ageCat2,2.644666103,1.503166852,5.927581296,3.339480226,4.928253865,2.613861066,2.809406221,1.450537424,,
ageCat3,1.081421477,1,2.167463587,1,2.051287088,1,1.83612513,1,,
ageCat4,0.485605677,0.390574994,1.456514797,0.701924752,0.755387229,0.574510428,0.708064598,0.168516413,,
ageCat5,0.690533559,0.132943223,0.383998477,0.248532708,0.763420464,0.15776066,0.54548698,0.289987155,,
ageCat6,0.482180055,0.261372145,0.561088906,0.508965358,0.402753985,0.240467506,0.542060413,0.350748238,,
ageCat7,0.080285302,0.198766897,0.110085363,0.169917665,0.674824939,0.232158899,0,0.024012456,,
ageCat8,0.122065315,0.165854854,0.224241308,0.074876013,0.28418888,0.105052989,0.343328434,0,,
, , , , , , , , , ,
ageCat1,1.000613734,0.993590054,0.999562407,0.998922588,0.999895761,1.000102504,1.000730124,1.000303955,relative.walk.speed,
ageCat2,0.999838221,0.99965661,0.999636675,0.999581414,1.000204308,1.000273238,0.999891978,1.000016644,,
ageCat3,1.000072928,1,0.999950549,1,1.000358383,1,1.000036047,1,,
ageCat4,1.000027133,1.000200058,1.000305573,1.000348005,1.000456403,0.999974615,0.999941773,1.000019793,,
ageCat5,0.999874328,0.999930619,0.999352099,1.000544775,1.000217562,1.00042451,1.000001251,1.000178562,,
ageCat6,0.999941224,1.000113026,0.999020662,0.999993025,1.000313927,1.000105013,1.000033037,1.00006025,,
ageCat7,1.000540331,1.00050578,1.000248565,0.999974353,0.999182466,1.00085684,1.000425904,1.000178973,,
ageCat8,0.999202673,0.999618955,1.000707681,0.999265596,0.999607988,1.000160021,1.000526437,0.999482948,,
, , , , , , , , , ,
ageCat1,0.999278441,1.001399127,0.999617101,0.99982858,1.000435007,0.997164785,1.000119877,0.999903014,relative.cycle.speed,
ageCat2,0.999976373,0.999816403,0.999740423,0.999762963,1.000022835,1.00003709,0.999853914,0.999751731,,
ageCat3,0.999964722,1,0.99972209,1,1.000000261,1,0.99969654,1,,
ageCat4,0.999317989,0.999347801,0.999755339,0.999828063,0.999991119,1.000009143,0.999798571,1.000017217,,
ageCat5,0.999952009,1.00032822,0.999815721,0.999581475,1.00013493,0.999906464,0.999893588,0.999799051,,
ageCat6,0.999781617,0.999313352,0.999794083,0.999968505,1.000307794,1.000314731,1.000153122,0.999858043,,
ageCat7,1.003086805,1.000137838,1.000575861,0.998685935,0.999797378,1.000625969,0,0.996567519,,
ageCat8,0.998952843,0.999622275,0.998531858,0.997008203,0.999847606,1.001361488,1.000506749,0,,
,,,,,,,,,,
ageCat1,0.195454087,0.171779259,0.390279232,0.288168426,0.306476733,0.420902812,0.368329853,0.518378629,relative.walk.time,PLA
ageCat2,2.063818042,2.046839207,2.258940288,2.057905831,1.674715714,1.815184023,1.727752959,1.727715344,,
ageCat3,0.883914907,1,0.915737092,1,0.798024254,1,0.920160663,1,,
ageCat4,0.623946747,0.835194762,0.647389381,0.82784097,0.682118406,0.650473734,0.60695921,0.927793596,,
ageCat5,0.554900457,0.794949825,0.634670615,0.705037834,0.633039808,0.674747549,0.677630638,0.693026907,,
ageCat6,0.39277586,0.749195423,0.572447314,0.731202566,0.40223808,0.486355028,0.43476298,0.502699271,,
ageCat7,0.420651947,0.516612044,0.498145026,0.523021058,0.414926164,0.426021375,0.450015565,0.434913145,,
ageCat8,0.4159555,0.595701044,0.479199949,0.560313521,0.408252506,0.530086851,0.388518315,0.270537477,,
, , , , , , , , , ,
ageCat1,0.038934639,0.206788795,0.417264873,0.537307589,1.198492368,0.249206733,0.71199105,0.459220798,relative.cycle.time,
ageCat2,2.781381064,1.524982092,3.944691179,1.892970264,3.294734132,1.749742307,2.582595875,1.299470518,,
ageCat3,2.009353847,1,1.559817568,1,2.008250584,1,1.428193235,1,,
ageCat4,1.491628553,0.657181639,1.349940849,0.382913714,1.12161977,0.373993413,0.89677385,0.373162442,,
ageCat5,1.369922428,0.556899288,0.588172833,0.392399217,1.242876926,0.414181126,0.655352135,0.259262319,,
ageCat6,0.571675937,0.184177269,0.535646151,0.234306544,0.577617051,0.406725206,0.551157406,0.244535372,,
ageCat7,0.641495613,0.182659283,0.419062028,0.173866835,0.671595956,0.154182465,0.75569257,0.411304838,,
ageCat8,0.363508379,0.16627454,0.538072073,0.107744751,0.441281389,0.147852956,0.310319174,0.121650142,,
, , , , , , , , , ,
ageCat1,1.000589399,0.999370388,1.00040457,0.999823895,1.000053212,1.000512153,1.000322709,1.00004743,relative.walk.speed,
