"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",0,0,0.333333333333333,0
"maleAgeClass 2",0.333333333333333,0,0,0
"maleAgeClass 3",0.666666666666667,0,1,1.33333333333333
"maleAgeClass 4",1.66666666666667,0.666666666666667,1.66666666666667,2.33333333333333
"maleAgeClass 5",10.3333333333333,15,18,21.3333333333333
"maleAgeClass 6",10.3333333333333,25,21.3333333333333,21
"maleAgeClass 7",23.6666666666667,36.6666666666667,26,13.3333333333333
"maleAgeClass 8",71,75.6666666666667,31,28.3333333333333
"femaleAgeClass 1",0,0,0,0
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",0.666666666666667,0,1,0.333333333333333
"femaleAgeClass 4",1,0.666666666666667,0.333333333333333,1
"femaleAgeClass 5",2.66666666666667,9.66666666666667,6.66666666666667,9
"femaleAgeClass 6",5.33333333333333,15.6666666666667,14.6666666666667,6
"femaleAgeClass 7",25.3333333333333,41,20.3333333333333,10.3333333333333
"femaleAgeClass 8",111,83.6666666666667,47.6666666666667,49.6666666666667
