"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",2.33333333333333,0.333333333333333,1,1
"maleAgeClass 2",0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
"maleAgeClass 3",14.6666666666667,11.6666666666667,10,7
"maleAgeClass 4",20,20.6666666666667,29.6666666666667,23.6666666666667
"maleAgeClass 5",145.666666666667,113.666666666667,139.333333333333,120.666666666667
"maleAgeClass 6",152.333333333333,160.666666666667,176.333333333333,149.333333333333
"maleAgeClass 7",229.666666666667,261,216,115.666666666667
"maleAgeClass 8",566.666666666667,560,320.333333333333,152.666666666667
"femaleAgeClass 1",1.66666666666667,1,1.33333333333333,0.333333333333333
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",6,3.66666666666667,3,3.33333333333333
"femaleAgeClass 4",16,14.6666666666667,12.3333333333333,12.3333333333333
"femaleAgeClass 5",91.6666666666667,86.3333333333333,77.6666666666667,77
"femaleAgeClass 6",109.666666666667,140,123,86
"femaleAgeClass 7",212,237.666666666667,173,103
"femaleAgeClass 8",949,811,420,237.333333333333
