"","deaths_cat1","deaths_cat2","deaths_cat3","deaths_cat4"
"maleAgeClass 1",0.333333333333333,0,0,0
"maleAgeClass 2",0,0,0,0
"maleAgeClass 3",0.666666666666667,1.66666666666667,1,0
"maleAgeClass 4",1.33333333333333,3,1.66666666666667,2
"maleAgeClass 5",7,10.6666666666667,15.6666666666667,7.33333333333333
"maleAgeClass 6",12.3333333333333,16,8.33333333333333,10
"maleAgeClass 7",19,29,13,3.66666666666667
"maleAgeClass 8",43.6666666666667,46.3333333333333,21.3333333333333,10
"femaleAgeClass 1",0,0,0,0.333333333333333
"femaleAgeClass 2",0,0,0,0
"femaleAgeClass 3",1,0.666666666666667,0.666666666666667,0.333333333333333
"femaleAgeClass 4",0.666666666666667,1.66666666666667,2,0.333333333333333
"femaleAgeClass 5",6.66666666666667,4.66666666666667,7.66666666666667,1
"femaleAgeClass 6",9.66666666666667,10.6666666666667,6,6.66666666666667
"femaleAgeClass 7",17,19,11.6666666666667,2
"femaleAgeClass 8",63,69.3333333333333,38.6666666666667,12.6666666666667
