Age,deaths,yll,yld,daly
maleAgeClass 1,422.723,35486.8,492.433,35979.2
maleAgeClass 2,688.033,51979.5,8320.91,60300.3
maleAgeClass 3,9833.05,628092,47167.6,675259
maleAgeClass 4,5685.57,278502.2,69108.3,347611
maleAgeClass 5,6250.7,218761,73958.2,292718.8
maleAgeClass 6,2733.35,64384.4,28981.4,93365.8
maleAgeClass 7,2082.62,30908.7,14447.2,45355.9
maleAgeClass 8,2254.78,14352.1,6776.65,21128.7
femaleAgeClass 1,326.563,27467.6,278.976,27746.6
femaleAgeClass 2,454.237,34508.3,4516.31,39024.6
femaleAgeClass 3,3384.725,218786.6,23135.6,241921.8
femaleAgeClass 4,2205.711,107166.7,33049.7,140216.4
femaleAgeClass 5,2667.962,92811.3,35777,128588.3
femaleAgeClass 6,1601.725,37436.6,13985.2,51421.9
femaleAgeClass 7,1492.758,22020.46,7954.53,29975
femaleAgeClass 8,1916.67,10494.9,5112.56,15607.5
