,Race1.eld,Race2.eld,Race1.pla,Race2.pla,Race1.sac,Race2.sac,Race1.sut,Race2.sut,Race1.yol,Race2.yol,Race1.yub,Race2.yub
maleAgeClass 1,0,0.090909091,0.181818182,0,0.181818182,0.727272727,0,0,0,0.181818182,0.090909091,0.090909091
maleAgeClass 2,0.090909091,0.090909091,0,0.090909091,0.272727273,1,0,0,0,0.363636364,0,0
maleAgeClass 3,4,1,5.363636364,1.363636364,11.81818182,17.72727273,1.363636364,1.818181818,1.909090909,2.818181818,1.454545455,0.636363636
maleAgeClass 4,3.090909091,0.545454545,2.272727273,1.272727273,9.363636364,8,0.909090909,0.818181818,1.090909091,1.909090909,1.545454545,0.454545455
maleAgeClass 5,3.818181818,0.363636364,3.909090909,0.454545455,12.45454545,8.818181818,1.818181818,0.727272727,2.818181818,2.181818182,2.363636364,0.363636364
maleAgeClass 6,1.363636364,0.090909091,2,0.727272727,4.272727273,3.363636364,0.545454545,0.454545455,0.818181818,0.636363636,0.545454545,0.272727273
maleAgeClass 7,1,0.181818182,0.636363636,0.090909091,2.181818182,1.818181818,0.363636364,0.181818182,0.454545455,0.545454545,0.272727273,0
maleAgeClass 8,1.363636364,0,1.454545455,0,3,1.454545455,0.363636364,0,0.545454545,0.181818182,0.090909091,0.090909091
femaleAgeClass 1,0.090909091,0,0,0,0.272727273,0.727272727,0,0,0.090909091,0,0,0
femaleAgeClass 2,0.090909091,0,0.090909091,0,0.090909091,0.090909091,0,0,0,0.090909091,0.181818182,0
femaleAgeClass 3,1.545454545,0.727272727,1.454545455,0.545454545,5.181818182,5.454545455,0.727272727,0.272727273,0.818181818,1.181818182,0.818181818,0.545454545
femaleAgeClass 4,1.272727273,0.272727273,0.909090909,0.181818182,2.909090909,3.727272727,0.545454545,0.181818182,1,0.636363636,0.818181818,0.181818182
femaleAgeClass 5,1.272727273,0.090909091,1.545454545,0.272727273,4.363636364,2.363636364,0.727272727,0.181818182,0.818181818,0.636363636,0.545454545,0.181818182
femaleAgeClass 6,0.545454545,0,0.545454545,0,2.090909091,1.363636364,0.545454545,0.181818182,0.272727273,0.181818182,0.272727273,0.181818182
femaleAgeClass 7,0.363636364,0,0.181818182,0.090909091,1.727272727,1,0.181818182,0.090909091,0.181818182,0.090909091,0.272727273,0
femaleAgeClass 8,1.181818182,0,0.727272727,0.090909091,2.636363636,1.727272727,0.181818182,0,0.454545455,0.090909091,0,0
