,bike,walk,motorcycle,car,truck,bus,one-party,,
bike,0,0,0,0.181818182,0,0,0.090909091,local fatal,NHW
walk,0,0.004368613,0,0.045870438,0.024027372,0,0,local fatal,
motorcycle,0,0,0.090909091,0,0.090909091,0,1.545454545,local fatal,
car,0,0.272727273,0.181818182,0.636363636,0.363636364,0,3.727272727,local fatal,
truck,0,0.090909091,0.363636364,0.818181818,0,0,1.636363636,local fatal,
bus,0,0,0,0.090909091,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0.002184307,0,0.004368613,0.004368613,0,0,arterial fatal,
motorcycle,0,0,0,0.181818182,0.090909091,0,0.454545455,arterial fatal,
car,0,0.090909091,0,0.090909091,0.181818182,0,1,arterial fatal,
truck,0,0,0.181818182,0.363636364,0,0,0,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.010483623,0.014159663,0,0,highway fatal,
motorcycle,0,0,0,0.363636364,0,0,0.545454545,highway fatal,
car,0,0.045454545,0.090909091,0.772727273,0.409090909,0,2.363636364,highway fatal,
truck,0,0,0.090909091,0.136363636,0.090909091,0,0.636363636,highway fatal,
bus,0,0,0,0.090909091,0,0,0,highway fatal,
bike,0.318181818,0,0,0.454545455,0,0,0.818181818,local serious,
walk,0,0.181818182,0,0.5,0,0,0,local serious,
motorcycle,0,0,0.363636364,1.181818182,0.363636364,0,7.454545455,local serious,
car,0.5,0.5,1.681818182,4.636363636,0.818181818,0,13.18181818,local serious,
truck,0.363636364,0.227272727,1.227272727,2.227272727,0.454545455,0,4.727272727,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0.090909091,0,0,0.181818182,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0.136363636,0.090909091,0.045454545,0,2.545454545,arterial serious,
car,0,0.090909091,0.363636364,1.090909091,0.090909091,0,2.454545455,arterial serious,
truck,0.090909091,0.090909091,0.318181818,0,0.181818182,0,0.727272727,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0.454545455,0.090909091,0,1.090909091,highway serious,
car,0,0.181818182,0.181818182,2.636363636,0.409090909,0,4,highway serious,
truck,0,0,0.181818182,1.090909091,0,0,1,highway serious,
bus,0,0,0,0.090909091,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.010999836,0,0,0.000999985,local fatal,Three
walk,0,0.002076707,0.000692236,0.006922356,0.009691299,0,0,local fatal,
motorcycle,0,0,0,0,0,0,0.181818182,local fatal,
car,0.090909091,0,0,0.318181818,0,0,0.727272727,local fatal,
truck,0,0,0,0.090909091,0.045454545,0,0,local fatal,
bus,0,0,0,0,0,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0.002076707,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0,arterial fatal,
car,0,0,0,0,0,0,0,arterial fatal,
truck,0,0,0,0.181818182,0,0,0,arterial fatal,
bus,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.004153414,0.001384471,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0.272727273,0.181818182,0,0.272727273,highway fatal,
truck,0,0,0.090909091,0.045454545,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0.090909091,highway fatal,
bike,0,0,0,0,0,0,0.090909091,local serious,
walk,0,0,0,0.136363636,0,0,0,local serious,
motorcycle,0,0,0.090909091,0.090909091,0,0,1,local serious,
car,0,0.090909091,0.181818182,0.590909091,0.227272727,0,1.363636364,local serious,
truck,0,0,0.090909091,0.181818182,0,0,0.454545455,local serious,
bus,0,0,0,0,0,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0.181818182,0.090909091,0,0,0.090909091,arterial serious,
car,0,0,0,0.181818182,0,0,0.454545455,arterial serious,
truck,0,0,0,0.090909091,0,0,0.090909091,arterial serious,
bus,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.090909091,0,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0.272727273,highway serious,
car,0,0,0.181818182,0.363636364,0.363636364,0,1.181818182,highway serious,
truck,0,0,0,0.090909091,0.090909091,0,0.090909091,highway serious,
bus,0,0,0,0,0,0,0.181818182,highway serious,
