,bike,walk,motorcycle,car,bus,truck,one-party,,
bike,0,0,0,0.272727273,0,0,0,local fatal,NHW
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,0,0,0.090909091,0,0.181818182,local fatal,
car,0,0,0.045454545,0.090909091,0.181818182,0,1.272727273,local fatal,
bus,0,0,0.045454545,0.363636364,0.090909091,0,0.363636364,local fatal,
truck,0.005940814,0,0,0.005940814,0.005940814,0,0.005940814,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0.090909091,0.090909091,0,0,0.090909091,arterial fatal,
car,0,0.090909091,0.090909091,0.136363636,0.181818182,0,0.181818182,arterial fatal,
bus,0,0.090909091,0.090909091,0.181818182,0,0,0.181818182,arterial fatal,
truck,0,0,0,0.005940814,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0.090909091,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0.090909091,0,0.636363636,0.272727273,0,1.090909091,highway fatal,
bus,0,0,0,0.590909091,0.045454545,0,0.272727273,highway fatal,
truck,0,0,0,0.005940814,0,0,0,highway fatal,
bike,0,0,0,0,0,0,0.181818182,local serious,
walk,0,0,0,0.090909091,0,0,0,local serious,
motorcycle,0,0,0,0.045454545,0,0,0.727272727,local serious,
car,0.090909091,0,0.045454545,0.272727273,0.363636364,0,2.090909091,local serious,
bus,0.181818182,0,0.045454545,0.772727273,0.181818182,0,1.090909091,local serious,
truck,0.005940814,0,0,0,0.005940814,0,0,local serious,
bike,0,0,0,0,0,0,0.090909091,arterial serious,
walk,0,0,0,0,0,0,0,arterial serious,
motorcycle,0,0,0,0.090909091,0.090909091,0,0.818181818,arterial serious,
car,0,0,0,0.545454545,0,0,1.545454545,arterial serious,
bus,0,0,0.090909091,0.181818182,0.090909091,0,0.545454545,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0,0.181818182,0,0.909090909,highway serious,
car,0,0,0.363636364,1.909090909,0.136363636,0,1.818181818,highway serious,
bus,0,0,0,0.636363636,0.090909091,0,0.545454545,highway serious,
truck,0,0,0,0.005940814,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.272727273,0,0,0,local fatal,Three
walk,0,0,0,0,0,0,0,local fatal,
motorcycle,0,0,0,0,0,0,0.090909091,local fatal,
car,0,0,0.090909091,0.181818182,0.181818182,0,1.636363636,local fatal,
bus,0,0,0,0.636363636,0.090909091,0,0.363636364,local fatal,
truck,0,0,0,0,0.272727273,0,0,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0.090909091,arterial fatal,
car,0,0,0,0.318181818,0,0,0.818181818,arterial fatal,
bus,0,0.090909091,0,0.090909091,0.090909091,0,0.181818182,arterial fatal,
truck,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.045454545,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0.181818182,0,0.590909091,0.045454545,0,0.909090909,highway fatal,
bus,0,0,0.181818182,0.090909091,0,0,0,highway fatal,
truck,0,0,0,0,0,0,0,highway fatal,
bike,0.044677465,0,0,0.647823241,0.290403522,0,0.223387325,local serious,
walk,0,0,0,0,0,0,0,local serious,
motorcycle,0,0,0,0,0,0,0.545454545,local serious,
car,0,0.181818182,0.272727273,1.090909091,0.272727273,0,4.727272727,local serious,
bus,0,0,0.090909091,0.590909091,0.272727273,0,1.181818182,local serious,
truck,0,0,0,0,0.545454545,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0.090909091,0,0,0,arterial serious,
motorcycle,0,0,0.090909091,0.090909091,0,0,0.181818182,arterial serious,
car,0,0.181818182,0,1.181818182,0.181818182,0,2.727272727,arterial serious,
bus,0,0,0.090909091,0.181818182,0.272727273,0,0.272727273,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0.181818182,0,0,0.181818182,highway serious,
car,0,0,0.090909091,1.272727273,0.181818182,0,3.545454545,highway serious,
bus,0,0,0.090909091,0.545454545,0,0,0.181818182,highway serious,
truck,0,0,0,0,0,0,0,highway serious,
