,bike,walk,motorcycle,car,bus,truck,one-party,,
bike,0,0,0,0,0.090909091,0,0.090909091,local fatal,NHW
walk,0,0,0,0.090909091,0,0,0,local fatal,
motorcycle,0,0,0,0,0.090909091,0,0.363636364,local fatal,
car,0,0.272727273,0,0.454545455,0.090909091,0,2.272727273,local fatal,
bus,0,0,0,0.272727273,0.090909091,0,0.545454545,local fatal,
truck,0,0,0,0,0.090909091,0,0.090909091,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0,0,0,0,arterial fatal,
motorcycle,0,0,0,0,0,0,0.272727273,arterial fatal,
car,0.090909091,0.136363636,0.181818182,0.090909091,0.181818182,0,0.181818182,arterial fatal,
bus,0,0.045454545,0,0.363636364,0.454545455,0,0.545454545,arterial fatal,
truck,0,0,0,0,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0,0,0,0,highway fatal,
motorcycle,0,0,0,0,0,0,0,highway fatal,
car,0,0,0,0,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
truck,0,0,0,0,0,0,0,highway fatal,
bike,0,0,0,0.227272727,0,0,0.272727273,local serious,
walk,0,0,0,0.363636364,0.090909091,0,0,local serious,
motorcycle,0,0.045454545,0.090909091,0.181818182,0.318181818,0,3.272727273,local serious,
car,0.272727273,0.272727273,0.409090909,0.909090909,0.545454545,0,4.818181818,local serious,
bus,0.272727273,0.272727273,0.363636364,0.5,0.181818182,0,2,local serious,
truck,0.090909091,0,0,0,0.090909091,0,0,local serious,
bike,0,0,0,0,0,0,0.181818182,arterial serious,
walk,0,0,0,0.181818182,0,0,0,arterial serious,
motorcycle,0,0,0.090909091,0,0,0,1,arterial serious,
car,0,0,0.181818182,0.863636364,0.454545455,0,2.272727273,arterial serious,
bus,0.090909091,0,0.090909091,0.590909091,0.454545455,0,1.545454545,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0,0,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0,highway serious,
car,0,0,0,0,0,0,0,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
truck,0,0,0,0,0,0,0,highway serious,
,,,,,,,,,
bike,0,0,0,0.090909091,0,0,0.090909091,local fatal,Three
walk,0,0.003666408,0.001222136,0.01222136,0.017109904,0,0,local fatal,
motorcycle,0,0,0.003636364,0.009090909,0.009090909,0,0.021818182,local fatal,
car,0.090909091,0.272727273,0.090909091,0.090909091,0,0,0.727272727,local fatal,
bus,0,0,0.090909091,0.090909091,0.090909091,0,0.090909091,local fatal,
truck,0.003750417,0,0,0.003750417,0.003750417,0,0.003750417,local fatal,
bike,0,0,0,0,0,0,0,arterial fatal,
walk,0,0,0,0.003666408,0,0,0,arterial fatal,
motorcycle,0,0,0,0.003636364,0.001818182,0,0.029090909,arterial fatal,
car,0,0.090909091,0,0.590909091,0,0,0.181818182,arterial fatal,
bus,0,0,0.090909091,0.136363636,0,0,0,arterial fatal,
truck,0,0,0,0.003750417,0,0,0,arterial fatal,
bike,0,0,0,0,0,0,0,highway fatal,
walk,0,0,0,0.007332816,0.002444272,0,0,highway fatal,
motorcycle,0,0,0,0,0.003636364,0,0.003636364,highway fatal,
car,0,0,0,0,0,0,0,highway fatal,
bus,0,0,0,0,0,0,0,highway fatal,
truck,0,0,0,0.003750417,0,0,0,highway fatal,
bike,0,0,0,0,0.090909091,0,0,local serious,
walk,0,0.004888544,0.001222136,0.073328161,0.019554176,0,0,local serious,
motorcycle,0,0,0.090909091,0,0,0,0.272727273,local serious,
car,0.727272727,0.272727273,0.090909091,0.227272727,0.136363636,0,1.090909091,local serious,
bus,0,0,0.090909091,0.272727273,0.272727273,0,0.636363636,local serious,
truck,0,0,0.090909091,0,0.045454545,0,0,local serious,
bike,0,0,0,0,0,0,0,arterial serious,
walk,0,0,0,0.007332816,0.003666408,0,0,arterial serious,
motorcycle,0,0,0,0,0,0,0.090909091,arterial serious,
car,0,0.090909091,0.090909091,0.136363636,0,0,0.909090909,arterial serious,
bus,0,0,0.090909091,0.363636364,0.181818182,0,0.090909091,arterial serious,
truck,0,0,0,0,0,0,0,arterial serious,
bike,0,0,0,0,0,0,0,highway serious,
walk,0,0,0,0.013443496,0.001222136,0,0,highway serious,
motorcycle,0,0,0,0,0,0,0,highway serious,
car,0,0,0,0,0,0,0,highway serious,
bus,0,0,0,0,0,0,0,highway serious,
truck,0,0,0,0,0,0,0,highway serious,
