,,ELD_NHW,,ELD_Other,,PLA_NHW,,PLA_Other,,SAC_NHW,,SAC_Other,,SUT_NHW,,SUT_Other,,YOL_NHW,,YOL_Other,,YUB_NHW,,YUB_Other,
PersonDistance(miles per day),bike,0.041568346,,0.069399206,,0.053232469,,0.067837031,,0.099022694,,0.119527615,,0.071509844,,0.090802666,,0.743014041,,1.019853131,,0.047887804,,0.076460457,
,walk,0.116417266,,0.137633325,,0.157930958,,0.184900922,,0.262095552,,0.302139184,,0.242401644,,0.291936938,,0.33603113,,0.366105838,,0.181570747,,0.230537882,
,motorcycle,0.497261521,,0.415005542,,0.384400732,,0.343000105,,0.303064585,,0.254751522,,0.266881614,,0.216936143,,0.270375955,,0.202336343,,0.406330916,,0.319718888,
,car,22.37676845,,18.67524937,,17.29803294,,15.43500474,,13.63790631,,11.4638185,,12.00967264,,9.76212644,,12.16691798,,9.105135428,,18.28489121,,14.38734996,
,truck,1.491784563,,1.245016625,,1.153202196,,1.029000316,,0.909193754,,0.764254567,,0.800644843,,0.650808429,,0.811127866,,0.607009029,,1.218992747,,0.959156664,
,bus,0.497261521,,0.415005542,,0.384400732,,0.343000105,,0.303064585,,0.254751522,,0.266881614,,0.216936143,,0.270375955,,0.202336343,,0.406330916,,0.319718888,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
