,,ELD_NHW,,ELD_Other,,PLA_NHW,,PLA_Other,,SAC_NHW,,SAC_Other,,SUT_NHW,,SUT_Other,,YOL_NHW,,YOL_Other,,YUB_NHW,,YUB_Other,
PersonDistance(miles per day),bike,0.042257452,,0.062944339,,0.055881114,,0.067898239,,0.106950405,,0.124643903,,0.067215235,,0.092370651,,0.609010902,,0.8576728,,0.046210887,,0.069527005,
,walk,0.117819406,,0.142236372,,0.161404434,,0.186807609,,0.272969901,,0.305272117,,0.231720724,,0.274309532,,0.344858827,,0.36845089,,0.174583297,,0.218455893,
,motorcycle,0.487048027,,0.406893931,,0.375760662,,0.335393749,,0.30128201,,0.254991384,,0.285178305,,0.23295142,,0.274909884,,0.210126292,,0.421937952,,0.33394029,
,car,21.91716121,,18.31022691,,16.90922981,,15.09271871,,13.55769043,,11.47461227,,12.83302374,,10.48281391,,12.37094479,,9.455683158,,18.98720786,,15.02731307,
,truck,1.461144081,,1.220681794,,1.127281987,,1.006181247,,0.903846029,,0.764974152,,0.855534916,,0.698854261,,0.824729653,,0.630378877,,1.265813857,,1.001820871,
,bus,0.487048027,,0.406893931,,0.375760662,,0.335393749,,0.30128201,,0.254991384,,0.285178305,,0.23295142,,0.274909884,,0.210126292,,0.421937952,,0.33394029,
,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution by road type,bike,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local,0.53,local
,walk,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,,0.75,
,motorcycle,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,car,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,truck,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,,0.18,
,bus,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,,0.364,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial,0.47,arterial
,walk,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,motorcycle,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,car,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,truck,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,,0.25,
,bus,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,,0.63,
,,,,,,,,,,,,,,,,,,,,,,,,,
,bike,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway,0.000001,highway
,walk,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,,0.000001,
,motorcycle,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,car,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,truck,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,,0.57,
,bus,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,,,,,,,,,,,,,,,,,,,,,,,,,
Occupancy,bike,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,walk,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,motorcycle,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,car,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,,1.75,
,truck,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,bus,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
